indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2025-06-01,8736.511010433014,8667.979458729767,8647.221123201474,8686.418230336567,8679.569527441929,8625.560049160185,8679.93545237674
2025-07-01,8899.70309831907,8827.432715311736,8807.122611095707,8843.616979672779,8838.721827443962,8788.526093740387,8842.798616567006
2025-08-01,9066.266717992756,8991.192037797115,8972.29706435489,9006.826363917287,9002.657418214641,8955.18998767935,9009.527997478774
2025-09-01,9256.233750851321,9191.216298677173,9172.741805600339,9206.056656701116,9201.59833482408,9155.823084106385,9209.2433206108
2025-10-01,9478.06668443339,9412.540952297559,9397.231992150644,9430.198350322557,9425.450976324386,9376.74754555856,9431.741456636459
2025-11-01,9713.309940481477,9657.11560111996,9640.942675162534,9674.653829445624,9669.691429471284,9619.623800800959,9676.357510406466
2025-12-01,9984.573253185672,9942.572476560546,9927.44260135267,9960.227516753299,9956.688364251993,9901.821680086156,9962.105296881255
2026-01-01,10261.01862544787,10225.364671426485,10205.636122703281,10253.644690453175,10251.053056842116,10162.735922602507,10245.515579046045
2026-02-01,10529.438078035395,10522.136448226323,10496.889111740327,10553.01696421531,10546.077375469382,10451.090612417827,10536.645561884401
2026-03-01,10888.5734308529,10876.01792513791,10855.62959411201,10904.068559886877,10894.192127144524,10819.575375656348,10892.674862126622
